frame,time_s,found,x_in,y_in,heading_deg
211,3.5202,0,,,
212,3.5369,0,,,
213,3.5535,0,,,
214,3.5702,0,,,
215,3.5869,0,,,
216,3.6036,0,,,
217,3.6203,0,,,
218,3.6370,0,,,
219,3.6537,0,,,
220,3.6703,0,,,
221,3.6870,0,,,
222,3.7037,0,,,
223,3.7204,0,,,
224,3.7371,0,,,
225,3.7538,0,,,
226,3.7704,0,,,
227,3.7871,0,,,
228,3.8038,0,,,
229,3.8205,0,,,
230,3.8372,0,,,
231,3.8538,0,,,
232,3.8705,0,,,
233,3.8872,0,,,
234,3.9039,0,,,
235,3.9206,0,,,
236,3.9373,0,,,
237,3.9539,0,,,
238,3.9706,0,,,
239,3.9873,0,,,
240,4.0040,0,,,
241,4.0207,0,,,
242,4.0374,0,,,
243,4.0541,0,,,
244,4.0707,0,,,
245,4.0874,0,,,
246,4.1041,0,,,
247,4.1208,0,,,
248,4.1375,0,,,
249,4.1542,0,,,
250,4.1708,0,,,
251,4.1875,0,,,
252,4.2042,0,,,
253,4.2209,0,,,
254,4.2376,0,,,
255,4.2542,0,,,
256,4.2709,0,,,
257,4.2876,0,,,
258,4.3043,0,,,
259,4.3210,0,,,
260,4.3377,0,,,
261,4.3544,0,,,
262,4.3710,0,,,
263,4.3877,0,,,
264,4.4044,0,,,
265,4.4211,0,,,
266,4.4378,0,,,
267,4.4545,0,,,
268,4.4711,0,,,
269,4.4878,0,,,
270,4.5045,0,,,
271,4.5212,0,,,
272,4.5379,0,,,
273,4.5545,0,,,
274,4.5712,0,,,
275,4.5879,0,,,
276,4.6046,0,,,
277,4.6213,0,,,
278,4.6380,0,,,
279,4.6547,0,,,
280,4.6713,0,,,
281,4.6880,0,,,
282,4.7047,0,,,
283,4.7214,0,,,
284,4.7381,0,,,
285,4.7548,0,,,
286,4.7714,0,,,
287,4.7881,0,,,
288,4.8048,0,,,
289,4.8215,0,,,
290,4.8382,0,,,
291,4.8548,0,,,
292,4.8715,0,,,
293,4.8882,0,,,
294,4.9049,0,,,
295,4.9216,0,,,
296,4.9383,0,,,
297,4.9550,0,,,
298,4.9716,0,,,
299,4.9883,0,,,
300,5.0050,0,,,
301,5.0217,0,,,
302,5.0384,0,,,
303,5.0551,0,,,
304,5.0717,0,,,
305,5.0884,0,,,
306,5.1051,0,,,
307,5.1218,0,,,
308,5.1385,0,,,
309,5.1551,1,11.166,26.672,-174.08
310,5.1718,0,,,
311,5.1885,0,,,
312,5.2052,0,,,
313,5.2219,0,,,
314,5.2386,1,8.421,26.277,-171.26
315,5.2553,1,7.937,26.176,-171.30
316,5.2719,1,7.448,26.113,-170.33
317,5.2886,1,7.014,26.018,-171.30
318,5.3053,1,6.527,25.943,-169.91
319,5.3220,1,6.133,25.840,-169.96
320,5.3387,1,5.687,25.743,-168.52
321,5.3554,1,5.303,25.666,-168.59
322,5.3720,1,4.946,25.566,-168.59
323,5.3887,1,4.587,25.492,-168.52
324,5.4054,1,4.204,25.402,-167.14
325,5.4221,1,3.898,25.307,-167.22
326,5.4388,1,3.590,25.238,-167.14
327,5.4554,1,3.285,25.131,-166.54
328,5.4721,1,3.005,25.039,-166.54
329,5.4888,1,2.746,24.975,-166.45
330,5.5055,1,2.502,24.900,-165.87
331,5.5222,1,2.246,24.810,-164.97
332,5.5389,1,2.027,24.738,-164.40
333,5.5556,1,1.833,24.667,-164.40
334,5.5722,1,1.652,24.586,-164.40
335,5.5889,1,1.496,24.519,-163.85
336,5.6056,1,1.339,24.453,-163.18
337,5.6223,1,1.159,24.372,-162.38
338,5.6390,1,1.026,24.320,-162.38
339,5.6557,1,0.929,24.285,-163.05
340,5.6723,1,0.809,24.223,-161.71
341,5.6890,1,0.726,24.176,-162.52
342,5.7057,1,0.629,24.141,-161.71
343,5.7224,1,0.581,24.124,-162.38
344,5.7391,1,0.523,24.080,-161.71
345,5.7557,1,0.498,24.077,-161.71
346,5.7724,1,0.464,24.036,-161.04
347,5.7891,1,0.439,24.034,-160.88
348,5.8058,1,0.453,24.023,-161.71
349,5.8225,1,0.455,24.010,-161.04
350,5.8392,1,0.455,24.010,-161.04
351,5.8559,1,0.455,24.010,-161.04
352,5.8725,1,0.455,24.010,-161.04
353,5.8892,1,0.455,24.010,-161.04
354,5.9059,1,0.455,24.010,-161.04
355,5.9226,1,0.455,24.010,-161.04
356,5.9393,1,0.455,24.010,-161.04
357,5.9560,1,0.455,24.010,-161.04
358,5.9726,1,0.455,24.010,-161.04
359,5.9893,1,0.455,24.010,-161.04
360,6.0060,1,0.455,24.010,-161.04
361,6.0227,1,0.453,24.023,-160.38
362,6.0394,1,0.452,24.035,-160.38
363,6.0560,1,0.441,24.021,-160.21
364,6.0727,1,0.455,24.010,-161.04
365,6.0894,1,0.455,24.010,-161.04
366,6.1061,1,0.455,24.010,-161.04
367,6.1228,1,0.455,24.010,-161.04
368,6.1395,1,0.455,24.010,-161.04
369,6.1562,1,0.455,24.010,-161.04
370,6.1728,1,0.455,24.010,-161.04
371,6.1895,1,0.455,24.010,-161.04
372,6.2062,1,0.455,24.010,-161.04
373,6.2229,1,0.455,24.010,-161.04
374,6.2396,1,0.455,24.010,-161.04
375,6.2563,1,0.455,24.010,-161.04
376,6.2729,1,0.455,24.010,-161.04
377,6.2896,1,0.455,24.010,-161.04
378,6.3063,1,0.455,24.010,-161.04
379,6.3230,1,0.455,24.010,-161.04
380,6.3397,1,0.455,24.010,-161.04
381,6.3563,1,0.455,24.010,-161.04
382,6.3730,1,0.455,24.010,-161.04
383,6.3897,1,0.455,24.010,-161.04
384,6.4064,1,0.455,24.010,-161.04
385,6.4231,1,0.455,24.010,-161.04
386,6.4398,1,0.455,24.010,-161.04
387,6.4565,1,0.455,24.010,-161.04
388,6.4731,1,0.455,24.010,-161.04
389,6.4898,1,0.455,24.010,-161.04
390,6.5065,1,0.455,24.010,-161.04
391,6.5232,1,0.455,24.010,-161.04
