frame,time_s,found,x_in,y_in,heading_deg
432,7.2072,1,-18.202,-19.310,-105.04
433,7.2239,1,-18.011,-18.639,-104.86
434,7.2406,1,-17.804,-17.913,-104.81
452,7.5409,1,-13.315,-0.821,-106.01
453,7.5575,1,-13.150,-0.172,-106.00
454,7.5742,1,-13.009,0.372,-106.26
455,7.5909,1,-12.910,0.864,-106.65
456,7.6076,1,-12.859,1.294,-107.54
457,7.6243,1,-12.847,1.700,-108.93
458,7.6410,1,-12.893,2.087,-111.32
459,7.6577,1,-12.987,2.468,-114.07
460,7.6743,1,-13.108,2.850,-117.35
461,7.6910,1,-13.269,3.240,-121.18
462,7.7077,1,-13.469,3.638,-125.05
463,7.7244,1,-13.685,4.064,-129.94
464,7.7411,1,-13.937,4.518,-135.18
465,7.7577,1,-14.198,4.990,-140.58
466,7.7744,1,-14.459,5.508,-146.86
467,7.7911,1,-14.719,6.062,-153.21
468,7.8078,1,-14.967,6.668,-160.12
469,7.8245,1,-15.184,7.292,-166.97
470,7.8412,1,-15.359,7.936,-173.81
471,7.8579,1,-15.478,8.572,179.45
472,7.8745,1,-15.529,9.220,173.21
473,7.8912,1,-15.527,9.828,166.80
474,7.9079,1,-15.469,10.417,160.87
475,7.9246,1,-15.363,10.976,155.37
476,7.9413,1,-15.213,11.495,149.97
477,7.9580,1,-15.038,11.991,144.94
478,7.9746,1,-14.837,12.439,139.96
479,7.9913,1,-14.613,12.879,135.14
480,8.0080,1,-14.380,13.268,130.86
481,8.0247,1,-14.141,13.637,126.52
482,8.0414,1,-13.896,13.967,122.41
483,8.0580,1,-13.647,14.267,118.83
484,8.0747,1,-13.421,14.512,115.60
485,8.0914,1,-13.238,14.691,113.49
486,8.1081,1,-13.082,14.796,111.69
487,8.1248,1,-12.940,14.845,110.60
488,8.1415,1,-12.796,14.798,109.49
489,8.1582,1,-12.647,14.665,108.66
490,8.1748,1,-12.468,14.453,107.70
491,8.1915,1,-12.279,14.132,106.74
492,8.2082,1,-12.077,13.749,105.90
493,8.2249,1,-11.863,13.292,105.19
494,8.2416,1,-11.645,12.756,104.49
523,8.7254,1,-5.369,-14.292,99.76
524,8.7421,1,-5.278,-14.942,100.11
525,8.7588,1,-5.209,-15.504,100.54
526,8.7754,1,-5.192,-16.015,101.25
527,8.7921,1,-5.200,-16.504,102.60
528,8.8088,1,-5.255,-17.001,104.48
529,8.8255,1,-5.334,-17.502,106.92
530,8.8422,1,-5.450,-18.020,109.59
531,8.8589,1,-5.598,-18.559,113.21
532,8.8755,1,-5.753,-19.123,117.43
533,8.8922,1,-5.927,-19.707,121.98
534,8.9089,1,-6.103,-20.312,127.23
535,8.9256,1,-6.279,-20.965,132.48
536,8.9423,1,-6.442,-21.644,138.57
537,8.9589,1,-6.590,-22.365,145.46
538,8.9756,1,-6.686,-23.120,152.27
586,9.7764,1,4.832,-24.610,-95.43
587,9.7931,1,5.476,-24.024,-91.13
588,9.8098,1,6.113,-23.405,-86.98
589,9.8265,1,6.740,-22.755,-82.84
590,9.8432,1,7.352,-22.071,-78.57
591,9.8598,1,7.949,-21.340,-74.42
593,9.8932,1,9.059,-19.779,-65.14
594,9.9099,1,9.568,-18.934,-60.74
595,9.9266,1,10.039,-18.045,-55.66
596,9.9433,1,10.465,-17.121,-50.96
598,9.9766,1,11.124,-15.148,-41.10
599,9.9933,1,11.346,-14.134,-36.08
624,10.4104,1,-3.860,0.013,112.91
625,10.4271,1,-4.561,-0.535,118.74
626,10.4438,1,-5.180,-1.155,124.44
627,10.4604,1,-5.699,-1.826,130.10
628,10.4771,1,-6.105,-2.574,135.40
629,10.4938,1,-6.416,-3.362,140.60
630,10.5105,1,-6.653,-4.169,145.91
631,10.5272,1,-6.756,-5.012,150.55
632,10.5439,1,-6.771,-5.862,155.17
633,10.5606,1,-6.711,-6.713,159.74
634,10.5772,1,-6.539,-7.566,164.13
635,10.5939,1,-6.271,-8.408,167.96
636,10.6106,1,-5.935,-9.228,172.48
637,10.6273,1,-5.518,-10.031,176.07
638,10.6440,1,-5.015,-10.790,179.93
639,10.6607,1,-4.451,-11.520,-176.73
640,10.6773,1,-3.812,-12.217,-172.71
642,10.7107,1,-2.359,-13.478,-166.22
644,10.7441,1,-0.708,-14.568,-159.62
646,10.7774,1,1.098,-15.522,-153.71
647,10.7941,1,2.039,-15.987,-150.34
648,10.8108,1,3.004,-16.433,-146.52
683,11.3947,1,21.324,1.403,55.08
684,11.4114,1,20.528,1.800,62.05
686,11.4448,1,18.851,2.283,76.15
687,11.4615,1,18.021,2.343,82.95
688,11.4781,1,17.171,2.304,90.22
689,11.4948,1,16.379,2.145,97.43
690,11.5115,1,15.615,1.890,104.64
691,11.5282,1,14.898,1.535,111.84
692,11.5449,1,14.254,1.086,118.87
693,11.5616,1,13.672,0.566,126.00
694,11.5782,1,13.188,-0.036,133.39
695,11.5949,1,12.816,-0.696,140.50
696,11.6116,1,12.523,-1.390,147.71
697,11.6283,1,12.339,-2.138,154.73
698,11.6450,1,12.277,-2.892,162.16
699,11.6616,1,12.295,-3.653,169.38
700,11.6783,1,12.429,-4.419,176.63
701,11.6950,1,12.682,-5.151,-175.97
702,11.7117,1,13.014,-5.874,-168.14
703,11.7284,1,13.455,-6.535,-160.91
704,11.7451,1,13.982,-7.145,-153.39
705,11.7618,1,14.568,-7.705,-145.90
706,11.7784,1,15.252,-8.165,-138.39
707,11.7951,1,15.987,-8.536,-130.80
708,11.8118,1,16.766,-8.833,-123.13
709,11.8285,1,17.572,-9.001,-115.72
710,11.8452,1,18.400,-9.076,-108.12
711,11.8619,1,19.228,-9.044,-100.65
712,11.8785,1,20.043,-8.904,-93.29
713,11.8952,1,20.852,-8.657,-86.08
714,11.9119,1,21.625,-8.296,-78.34
715,11.9286,1,22.348,-7.844,-70.80
716,11.9453,1,23.005,-7.307,-63.78
717,11.9619,1,23.604,-6.682,-56.18
718,11.9786,1,24.120,-5.981,-48.73
719,11.9953,1,24.536,-5.225,-41.69
720,12.0120,1,24.859,-4.419,-34.01
