frame,time_s,found,x_in,y_in,heading_deg
389,6.4898,1,5.626,-14.978,-130.95
390,6.5065,1,5.878,-15.128,-128.82
391,6.5232,1,6.125,-15.268,-126.23
392,6.5399,1,6.372,-15.386,-124.05
393,6.5566,1,6.619,-15.488,-121.90
394,6.5732,1,6.873,-15.583,-119.56
395,6.5899,1,7.121,-15.660,-117.33
396,6.6066,1,7.369,-15.725,-115.13
397,6.6233,1,7.616,-15.780,-112.89
398,6.6400,1,7.869,-15.822,-110.60
399,6.6566,1,8.114,-15.853,-108.38
400,6.6733,1,8.354,-15.878,-106.06
401,6.6900,1,8.590,-15.884,-103.80
402,6.7067,1,8.819,-15.876,-101.72
403,6.7234,1,9.049,-15.861,-99.52
404,6.7401,1,9.272,-15.845,-97.30
405,6.7568,1,9.484,-15.813,-94.92
406,6.7734,1,9.682,-15.766,-93.08
407,6.7901,1,9.866,-15.723,-91.03
408,6.8068,1,10.024,-15.660,-89.36
409,6.8235,1,10.153,-15.574,-87.98
410,6.8402,1,10.239,-15.474,-86.87
411,6.8569,1,10.289,-15.345,-86.33
412,6.8735,1,10.320,-15.200,-85.97
413,6.8902,1,10.334,-15.021,-85.75
414,6.9069,1,10.340,-14.823,-85.59
415,6.9236,1,10.338,-14.608,-85.47
416,6.9403,1,10.322,-14.374,-85.36
417,6.9569,1,10.304,-14.128,-85.25
418,6.9736,1,10.297,-13.873,-85.15
419,6.9903,1,10.281,-13.601,-85.22
420,7.0070,1,10.262,-13.314,-85.08
421,7.0237,1,10.244,-13.021,-84.74
422,7.0404,1,10.228,-12.713,-84.72
423,7.0571,1,10.206,-12.397,-84.67
424,7.0737,1,10.185,-12.068,-84.62
425,7.0904,1,10.163,-11.727,-84.50
426,7.1071,1,10.138,-11.386,-84.43
427,7.1238,1,10.112,-11.027,-84.36
428,7.1405,1,10.080,-10.666,-84.39
429,7.1572,1,10.052,-10.301,-84.22
430,7.1738,1,10.017,-9.932,-84.11
431,7.1905,1,9.989,-9.554,-83.96
432,7.2072,1,9.961,-9.175,-83.81
433,7.2239,1,9.930,-8.795,-83.72
434,7.2406,1,9.898,-8.407,-83.61
435,7.2572,1,9.868,-8.018,-83.50
436,7.2739,1,9.832,-7.624,-83.55
437,7.2906,1,9.794,-7.230,-83.58
438,7.3073,1,9.742,-6.824,-83.51
439,7.3240,1,9.682,-6.423,-83.91
440,7.3407,1,9.617,-6.022,-84.16
441,7.3574,1,9.549,-5.615,-84.52
442,7.3740,1,9.488,-5.217,-84.84
443,7.3907,1,9.414,-4.818,-85.18
444,7.4074,1,9.338,-4.417,-85.79
445,7.4241,1,9.255,-4.021,-86.39
446,7.4408,1,9.168,-3.630,-87.13
447,7.4574,1,9.085,-3.241,-87.66
448,7.4741,1,9.005,-2.846,-88.56
449,7.4908,1,8.917,-2.456,-89.38
450,7.5075,1,8.840,-2.074,-89.97
451,7.5242,1,8.759,-1.687,-90.79
452,7.5409,1,8.683,-1.299,-91.67
453,7.5575,1,8.611,-0.911,-92.53
454,7.5742,1,8.545,-0.521,-93.41
455,7.5909,1,8.480,-0.127,-94.47
456,7.6076,1,8.417,0.267,-95.34
457,7.6243,1,8.359,0.652,-96.40
458,7.6410,1,8.308,1.043,-97.40
459,7.6577,1,8.252,1.431,-98.17
460,7.6743,1,8.204,1.824,-99.02
461,7.6910,1,8.150,2.217,-100.12
462,7.7077,1,8.106,2.611,-101.24
463,7.7244,1,8.066,2.996,-101.98
464,7.7411,1,8.039,3.391,-103.02
465,7.7577,1,8.008,3.775,-103.84
466,7.7744,1,7.984,4.162,-104.76
467,7.7911,1,7.973,4.541,-105.34
468,7.8078,1,7.990,4.928,-105.87
469,7.8245,1,8.027,5.324,-106.26
470,7.8412,1,8.086,5.710,-106.57
